ï»¿NÂº RADAR;Ubicacion;Carretara o vial;UBICACIÃN Calle 30;PK;Sentido;Tipo;Carril;Longitud inicio tramo;Latitud inicio tramo;X (WGS84);Y (WGS84);Longitud;Latitud;Velocidad lÃ­mite;Responsable
11;TÃNEL M-30, SENTIDO NUDO SUR - PTE. DE LOS FRANCESES, (GTA. LEGAZPI - PÂº STA. MÂª DE LA CABEZA);M-30;13NL86;13+860;Calzada interior;Fijo;Fijo carril 1;NA;NA;NA;NA;-3.699691;40.39118;70;DGP
12;TÃNEL BYPASS, SENTIDO A-3 A PTE. FRANCESES, (GTA. LEGAZPI - PÂº STA. MÂª DE LA CABEZA);M-30;14NC20;14+200;Calzada interior;Fijo;Fijo carril 3;NA;NA;NA;NA;-3.703274;40.394924;70;DGP
13;PASEO DE STA. MÂª DE LA CABEZA NÂº 115, ENTRADA;PASEO DE SANTA MARIA DE LA CABEZA;NA;115;ENTRADA;Fijo;Todos;NA;NA;439726.0;4471345.0;-3.71017703;40.39052318;50;DGP
14;TÃNEL BYPASS, SENTIDO A3 A PTE. DE LOS FRANCESES, (ENLACE PÂº STA. MÂª DE LA CABEZA);M-30;14NC74;14+740;Calzada interior;Fijo;Fijo carril 1;NA;NA;NA;NA;-3.708108;40.39657;70;DGP
15;TÃNEL BYPASS, SENTIDO A3 A PTE. DE LOS FRANCESES, (PÂº STA. MÂª DE LA CABEZA - GTA. PIRÃMIDES);M-30;15NL01;15+010;Calzada interior;Fijo;Fijo carril 3;NA;NA;NA;NA;-3.709684;40.397139;70;DGP
16;TÃNEL M-30, SENTIDO PTE. DE LOS FRANCESES - A3 (PTE. SAN ISIDRO - GTA. MARQUÃS DE VADILLO);M-30;16XC53;16+530;Calzada exterior;Fijo;Fijo multicarril;NA;NA;NA;NA;-3.722988;40.403114;70;DGP
17;TÃNEL M-30, SENTIDO NUDO SUR - PTE. DE LOS FRANCESES, (PASADA SALIDA VIRGEN DEL PUERTO);M-30;17NC17;17+170;Calzada interior;Fijo;Fijo carril 1;NA;NA;NA;NA;-3.721414;40.40939;70;DGP
18;TÃNEL AVDA. DE PORTUGAL, SENTIDO M-30;A5;04FT15;4+150;Entrada de Madrid;Fijo;Fijo carril 1;NA;NA;NA;NA;-3.731092;40.41389;70;DGP
19;TÃNEL AVDA. DE PORTUGAL, SENTIDO M-30;A5;04FT15;4+150;Entrada de Madrid;Fijo;Fijo carril 4;NA;NA;NA;NA;-3.73102;40.413797;70;DGP
20;A-5 PK 4,000, SALIDA;A5;NA;4;Salida;Fijo;Fijo carril 3;NA;NA;436748.0;4473248.0;-3.74545156;40.40744539;70;DGP
21;ENTRADA TÃNEL EN MARQUÃS DE MONISTROL, P.K. 19,060;M-30;19XC06;19+060;Calzada exterior;Fijo;Fijo carril 1;NA;NA;NA;NA;-3.727663;40.422937;70;DGP
22;ENTRADA TÃNEL EN MARQUÃS DE MONISTROL, P.K. 19,060;M-30;19XC06;19+060;Calzada exterior;Fijo;Fijo carril 4;NA;NA;NA;NA;-3.727724;40.422839;70;DGP
23;M-30  MARQUÃS DE MONISTROL, SENTIDO PTE. DE LOS FRANCESES (PTE. DEL REY - PTE. FRANCESES) P.K. 19,800;M-30;19NC90;19+900;Calzada interior;Fijo;Fijo carril 3;NA;NA;437668.0;4475482.0;-3.73482875;40.42763957;70;DGP
24;M-30  MARQUÃS DE MONISTROL, SENTIDO PTE. DE LOS FRANCESES (PTE. DEL REY - PTE. FRANCESES) P.K. 19,800;M-30;19NC90;19+900;Calzada interior;Fijo;Fijo carril 2 ;NA;NA;437668.0;4475482.0;-3.73482875;40.42763957;70;DGP
25;M-30 SENTIDO AVDA. DE LA ILUSTRACIÃN (CTRA. DEL PARDO - AVDA. DE LA ILUSTRACIÃN) P.K. 25,700;M-30;25NC80;25+700;Calzada interior;Fijo;Todos;NA;NA;436823.0;4480674.0;-3.74530618;40.4743471;90;DGP
26;M-30  SENTIDO CTRA DEL PARDO (AVDA. DE LA ILUSTRACIÃN - CTRA. DEL PARDO) P.K. 27,300 ;M-30;NA;27+300;NA;Fijo;Fijo multicarril;NA;NA;438043.0;4480491.0;-3.73089695;40.47279048;90;DGP
27;PASEO DE LA CASTELLANA NÂº 300, SALIDA;PASEO DE LA CASTELLANA;NA;300;Salida;Fijo;Todos;NA;NA;441904.0;4481314.0;-3.68542793;40.48048344;50;DGP
28;AVENIDA DE CÃRDOBA CON CALLE DOCTOR TOLOSA LATOUR, SENTIDO GLORIETA DE MÃLAGA;AVENIDA DE CÃRDOBA;NA;"Inicio: GLORIETA DE CÃDIZ
Fin: AVENIDA DE CÃRDOBA CON CALLE DOCTOR TOLOSA LATOUR";Salida;Radar de tramo;Salida, radar de tramo;-3.69938;40.387572;440873.0;4470025.29;-3.696519;40.37859;50;DGGVC
29;A-5 PK 5+750, SENTIDO SALIDA;A5;NA;P.K  4+000 ----- P.K. 5+750;Salida;Radar de tramo;Salida, radar de tramo;-3.74574755307117;40.4072412609861;435202.237655954;4472448.48639425;-3.76358611606955;40.4001241953525;70;DGGVC
30;A-5 PK 4+000, SENTIDO ENTRADA;A5;NA;P.K. 5+750 ----- P.K  4+000;Entrada;Radar de tramo;Entrada, radar de tramo;-3.76358611606955;40.4001241953525;436722.693562517;4473225.55366121;-3.74574755307117;40.4072412609861;70;DGGVC
31;Sinesio Delgado, Sentido Ciudad Universitaria, Farolas 144 -152;Calle Sinesio Delgado;NA;NA;Ciudad Universitaria;Radar de tramo;Radar de tramo;-3.712945;40.469247;NA;NA;-3.714454;40.467149;50;DGGVC
32;Sinesio Delgado, Sentido Ciudad Universitaria, Farolas 152 - 188;Calle Sinesio Delgado;NA;NA;Ciudad Universitaria;Radar de tramo;Radar de tramo;-3.714454;40.467149;NA;NA;-3.728241;40.460303;50;DGGVC
33;Sinesio Delgado, Sentido Ciudad Universitaria, Farolas 144 -188;Calle Sinesio Delgado;NA;NA;Ciudad Universitaria;Radar de tramo;Radar de tramo;-3.712945;40.469247;NA;NA;-3.728241;40.460303;50;DGGVC
34;Sinesio Delgado, Sentido Av Betanzos, Farola 187-152;Calle Sinesio Delgado;NA;NA;Av Betanzos;Radar de tramo;Radar de tramo;-3.728207;40.460208;NA;NA;-3.714454;40.467149;50;DGGVC
35;Sinesio Delgado, Sentido Av Betanzos, Farola 152- 143;Calle Sinesio Delgado;NA;NA;Av Betanzos;Radar de tramo;Radar de tramo;-3.714454;40.467149;NA;NA;-3.712743;40.469208;50;DGGVC
36;Sinesio Delgado, Sentido Av Betanzos, Farola 187-143;Calle Sinesio Delgado;NA;NA;Av Betanzos;Radar de tramo;Radar de tramo;-3.728207;40.460208;NA;NA;-3.712743;40.469208;50;DGGVC
