ï»¿num_expediente;fecha;hora;localizacion;numero;cod_distrito;distrito;tipo_accidente;estado_meteorolÃ³gico;tipo_vehiculo;tipo_persona;rango_edad;sexo;cod_lesividad;lesividad;coordenada_x_utm;coordenada_y_utm;positiva_alcohol;positiva_droga;__origen__;__descarga__
2025S000076;01/01/2025;8:00:00;CALL. MISTERIOS, 8;8;15;CIUDAD LINEAL;ColisiÃ³n fronto-lateral;Despejado;Turismo;Conductor;De 45 a 49 aÃ±os;Hombre;14.0;Sin asistencia sanitaria;445740.0;4476666.0;S;;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=7c2843010d9c3610VgnVCM2000001f4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default;https://datos.madrid.es/egob/catalogo/300228-30-accidentes-trafico-detalle.csv
2025S000076;01/01/2025;8:00:00;CALL. MISTERIOS, 8;8;15;CIUDAD LINEAL;ColisiÃ³n fronto-lateral;Despejado;Turismo;Conductor;Desconocido;Desconocido;;;445740.0;4476666.0;N;;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=7c2843010d9c3610VgnVCM2000001f4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default;https://datos.madrid.es/egob/catalogo/300228-30-accidentes-trafico-detalle.csv
2025S000076;01/01/2025;8:00:00;CALL. MISTERIOS, 8;8;15;CIUDAD LINEAL;ColisiÃ³n fronto-lateral;Despejado;Turismo;Conductor;Desconocido;Desconocido;;;445740.0;4476666.0;N;;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=7c2843010d9c3610VgnVCM2000001f4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default;https://datos.madrid.es/egob/catalogo/300228-30-accidentes-trafico-detalle.csv
2025S011682;01/02/2025;8:00:00;CALL. CALAHORRA / CALL. CASALARREINA;74;19;VICÃLVARO;ColisiÃ³n fronto-lateral;Despejado;Turismo;Conductor;Desconocido;Desconocido;;;447978.0;4473329.0;N;;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=7c2843010d9c3610VgnVCM2000001f4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default;https://datos.madrid.es/egob/catalogo/300228-30-accidentes-trafico-detalle.csv
2025S011682;01/02/2025;8:00:00;CALL. CALAHORRA / CALL. CASALARREINA;74;19;VICÃLVARO;ColisiÃ³n fronto-lateral;Despejado;Turismo;Conductor;Desconocido;Desconocido;;;447978.0;4473329.0;N;;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=7c2843010d9c3610VgnVCM2000001f4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default;https://datos.madrid.es/egob/catalogo/300228-30-accidentes-trafico-detalle.csv
2025S011682;01/02/2025;8:00:00;CALL. CALAHORRA / CALL. CASALARREINA;74;19;VICÃLVARO;ColisiÃ³n fronto-lateral;Despejado;Turismo;Conductor;Desconocido;Desconocido;;;447978.0;4473329.0;N;;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=7c2843010d9c3610VgnVCM2000001f4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default;https://datos.madrid.es/egob/catalogo/300228-30-accidentes-trafico-detalle.csv
2025S050501;02/05/2025;8:00:00;AVDA. POBLADOS / CALL. CONSUELO GUZMAN;74;11;CARABANCHEL;ColisiÃ³n fronto-lateral;LLuvia intensa;Turismo;Conductor;De 25 a 29 aÃ±os;Hombre;;;436001.0;4469890.0;S;;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=7c2843010d9c3610VgnVCM2000001f4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default;https://datos.madrid.es/egob/catalogo/300228-30-accidentes-trafico-detalle.csv
2025S050501;02/05/2025;8:00:00;AVDA. POBLADOS / CALL. CONSUELO GUZMAN;74;11;CARABANCHEL;ColisiÃ³n fronto-lateral;LLuvia intensa;Turismo;Conductor;Desconocido;Desconocido;;;436001.0;4469890.0;N;;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=7c2843010d9c3610VgnVCM2000001f4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default;https://datos.madrid.es/egob/catalogo/300228-30-accidentes-trafico-detalle.csv
2025S050501;02/05/2025;8:00:00;AVDA. POBLADOS / CALL. CONSUELO GUZMAN;74;11;CARABANCHEL;ColisiÃ³n fronto-lateral;LLuvia intensa;Turismo;Pasajero;De 25 a 29 aÃ±os;Hombre;;;436001.0;4469890.0;N;;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=7c2843010d9c3610VgnVCM2000001f4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default;https://datos.madrid.es/egob/catalogo/300228-30-accidentes-trafico-detalle.csv
2025S050501;02/05/2025;8:00:00;AVDA. POBLADOS / CALL. CONSUELO GUZMAN;74;11;CARABANCHEL;ColisiÃ³n fronto-lateral;LLuvia intensa;Turismo;Pasajero;De 25 a 29 aÃ±os;Mujer;;;436001.0;4469890.0;N;;https://datos.madrid.es/portal/site/egob/menuitem.c05c1f754a33a9fbe4b2e4b284f1a5a0/?vgnextoid=7c2843010d9c3610VgnVCM2000001f4a900aRCRD&vgnextchannel=374512b9ace9f310VgnVCM100000171f5a0aRCRD&vgnextfmt=default;https://datos.madrid.es/egob/catalogo/300228-30-accidentes-trafico-detalle.csv
